ax,ay,bx,by
632,939,272,1359
632,939,291,1356
632,939,301,1349
632,899,312,1338
632,899,329,1318
632,899,346,1298
632,899,370,1271
618,851,394,1240
618,851,422,1202
618,851,452,1160
618,851,481,1113
562,854,515,1053
562,854,542,994
518,879,574,927
518,879,597,860
467,930,623,793
467,930,640,730
417,990,656,667
417,990,664,612
373,1050,670,571
373,1050,672,538
343,1115,671,514
343,1115,667,498
336,1175,661,487
336,1175,661,487
347,1227,646,499
347,1227,638,519
372,1269,624,544
372,1269,613,582
372,1269,596,633
421,1297,584,689
421,1297,566,760
461,1293,552,828
461,1293,534,906
461,1293,522,982
514,1266,512,1058
514,1266,506,1126
546,1220,502,1189
546,1220,504,1243
569,1169,511,1289
569,1169,521,1326
590,1109,538,1353
590,1109,560,1369
608,1047,585,1376
608,1047,612,1377
625,998,641,1366
625,998,668,1347
641,955,693,1321
641,955,715,1289
641,955,735,1253
641,955,748,1214
641,955,757,1174
641,955,762,1130
641,955,765,1091
641,955,766,1056
642,996,764,1028
642,996,758,1007
634,1046,749,992
634,1046,735,988
630,1101,719,992
630,1101,702,1006
639,1161,685,1026
639,1161,671,1050
652,1214,660,1074
652,1214,654,1100
680,1255,656,1125
680,1255,665,1145
680,1255,681,1160
737,1275,705,1167
737,1275,734,1172
781,1275,762,1176
781,1275,795,1173
828,1248,833,1165
,,866,1162
,,900,1153
