ax,ay,bx,by
557,844,442,523
550,803,442,512
550,803,442,512
550,803,443,524
505,803,446,539
505,803,439,581
450,833,437,637
450,833,427,710
377,903,419,791
336,957,410,888
298,1014,403,981
268,1086,397,1075
242,1144,396,1160
230,1214,398,1232
235,1272,404,1287
254,1317,413,1324
254,1317,426,1340
337,1347,439,1340
392,1334,455,1325
452,1298,476,1298
518,1247,499,1257
577,1178,527,1213
632,1105,558,1165
676,1026,589,1120
707,951,623,1082
728,888,655,1053
739,835,683,1034
739,835,706,1030
727,785,722,1040
727,785,730,1061
684,824,731,1093
661,875,722,1128
643,935,707,1168
628,1000,684,1208
621,1066,658,1243
622,1126,629,1276
635,1177,598,1300
635,1177,569,1312
689,1239,540,1314
689,1239,525,1308
759,1269,512,1301
759,1269,508,1285
841,1285,511,1270
888,1291,521,1258
