ax,ay,bx,by
686,851,397,628
686,851,395,638
686,851,395,662
686,851,399,701
629,833,403,750
629,833,405,815
576,862,411,885
576,862,413,963
509,924,418,1040
472,968,423,1115
440,1026,427,1182
409,1084,430,1237
383,1147,435,1281
365,1205,442,1311
355,1260,452,1328
353,1307,466,1334
353,1307,484,1330
380,1370,508,1317
380,1370,539,1294
440,1377,576,1263
440,1377,617,1223
522,1335,663,1182
563,1297,708,1144
604,1247,755,1110
639,1196,800,1082
671,1144,838,1060
695,1094,870,1049
711,1048,895,1048
721,1008,911,1062
721,1008,916,1087
719,968,911,1117
719,968,897,1156
719,968,875,1196
719,968,842,1242
686,1040,806,1286
681,1081,762,1329
677,1130,718,1360
682,1176,676,1381
694,1223,638,1396
694,1223,607,1396
748,1291,580,1388
748,1291,563,1372
836,1312,563,1340
894,1303,566,1307
954,1282,586,1262
16,1246,,
