ax,ay,bx,by
543,964,273,1211
543,964,273,1211
543,964,273,1211
543,964,286,1212
543,964,286,1212
543,964,307,1195
543,964,323,1179
589,920,340,1160
589,920,363,1129
589,920,385,1093
589,920,416,1041
589,920,446,990
589,920,479,924
589,920,514,858
589,920,550,787
589,920,587,710
589,920,623,631
546,891,653,562
546,891,679,495
546,891,698,430
500,866,711,376
500,866,716,330
500,866,717,287
446,842,711,257
446,842,703,230
404,824,693,209
404,824,681,203
363,821,667,203
363,821,653,203
321,835,638,218
321,835,622,242
321,835,605,275
268,900,588,319
268,900,570,369
238,969,553,415
226,1009,535,477
217,1051,520,549
210,1097,504,616
206,1145,490,695
205,1189,476,770
206,1232,463,845
206,1232,453,923
226,1304,446,1001
226,1304,445,1068
268,1345,445,1125
268,1345,451,1175
332,1340,460,1212
332,1340,476,1242
402,1290,493,1265
402,1290,513,1275
472,1208,535,1280
502,1157,559,1282
528,1106,583,1277
549,1052,607,1263
565,1000,632,1247
565,1000,654,1224
582,935,674,1197
582,935,688,1166
582,935,699,1132
582,935,703,1098
582,935,699,1060
582,935,687,1026
539,996,667,992
539,996,639,969
526,1072,608,951
526,1115,573,943
530,1155,540,943
530,1155,507,952
553,1221,477,977
553,1221,455,1003
594,1272,445,1038
594,1272,438,1080
657,1291,442,1113
697,1285,,
745,1269,,
794,1247,,
854,1218,,
