ax,ay,bx,by
268,1200,495,1160
268,1200,495,1160
268,1200,488,1174
268,1200,488,1174
268,1200,488,1174
268,1200,482,1186
285,1242,482,1186
285,1242,482,1186
285,1242,482,1186
285,1242,492,1188
285,1242,501,1184
285,1242,501,1184
285,1242,521,1170
285,1242,533,1159
333,1229,548,1142
333,1229,565,1123
333,1229,581,1098
359,1173,598,1075
359,1173,615,1046
376,1129,629,1018
376,1129,640,991
376,1129,648,961
397,1070,655,935
397,1070,657,915
397,1070,658,900
408,1028,656,886
408,1028,651,875
408,1028,644,862
408,1028,644,862
408,1028,626,862
408,1028,613,868
408,1028,599,879
408,1028,584,889
408,1028,568,910
408,1028,553,932
408,1028,539,964
408,1028,526,991
408,1028,516,1021
408,1028,508,1049
408,1028,503,1079
408,1028,498,1109
408,1028,497,1134
374,1082,499,1160
374,1082,502,1185
378,1124,507,1207
378,1124,513,1228
386,1170,521,1249
386,1170,529,1264
386,1170,538,1276
401,1220,548,1287
401,1220,561,1295
401,1220,575,1300
401,1220,589,1305
401,1220,605,1309
401,1220,623,1309
401,1220,640,1309
443,1253,657,1304
443,1253,673,1297
443,1253,689,1288
443,1253,704,1275
443,1253,716,1260
486,1247,727,1238
486,1247,738,1221
486,1247,746,1202
486,1247,753,1183
486,1247,757,1163
533,1198,759,1145
533,1198,760,1130
546,1157,758,1118
546,1157,758,1118
555,1112,751,1102
555,1112,751,1102
561,1068,738,1101
561,1068,738,1101
561,1068,726,1113
562,1018,720,1125
562,1018,717,1137
562,1018,715,1151
555,976,713,1163
555,976,716,1175
555,976,720,1185
555,976,725,1195
555,976,725,1195
523,935,740,1205
523,935,751,1208
523,935,764,1213
523,935,779,1214
475,961,796,1213
475,961,817,1211
475,961,836,1209
437,1010,858,1201
437,1010,877,1192
437,1010,896,1183
402,1058,912,1171
402,1058,928,1160
402,1058,939,1153
378,1109,939,1153
378,1109,952,1141
378,1109,952,1141
374,1155,952,1141
374,1155,952,1141
374,1155,952,1141
388,1200,952,1141
388,1200,952,1141
388,1200,,
388,1200,,
388,1200,,
433,1232,,
433,1232,,
433,1232,,
433,1232,,
477,1234,,
477,1234,,
477,1234,,
518,1200,,
518,1200,,
518,1200,,
555,1133,,
555,1133,,
573,1074,,
573,1074,,
582,1023,,
582,1023,,
582,1023,,
585,978,,
585,978,,
585,978,,
585,978,,
585,978,,
585,978,,
585,978,,
573,1028,,
573,1028,,
578,1074,,
578,1074,,
591,1123,,
591,1123,,
611,1171,,
611,1171,,
633,1213,,
633,1213,,
633,1213,,
633,1213,,
680,1249,,
680,1249,,
680,1249,,
680,1249,,
729,1226,,
729,1226,,
729,1226,,
729,1226,,
757,1180,,
757,1180,,
757,1180,,
757,1180,,
