ax,ay,bx,by
433,497,408,285
433,497,408,285
433,497,400,275
433,497,400,275
390,493,396,287
390,493,396,310
390,493,401,340
335,551,407,386
335,551,415,446
279,620,424,523
249,664,434,607
222,709,445,698
197,754,452,787
175,800,459,870
163,848,463,950
159,897,466,1016
164,944,466,1070
177,989,465,1104
177,989,461,1127
220,1054,457,1136
220,1054,457,1136
279,1091,446,1128
279,1091,439,1110
344,1076,434,1086
344,1076,429,1058
404,1007,425,1026
429,960,422,986
451,902,425,950
468,835,429,912
478,766,438,873
484,692,453,839
486,630,472,809
483,574,499,788
478,532,532,772
478,532,569,767
464,481,608,767
464,481,651,774
464,481,690,791
449,547,728,813
448,598,764,842
448,655,788,878
448,722,808,916
451,791,816,958
455,860,815,995
460,924,800,1037
464,980,772,1075
470,1023,730,1114
477,1064,681,1146
477,1064,627,1173
503,1118,570,1191
503,1118,515,1210
503,1118,467,1224
566,1126,434,1222
566,1126,417,1211
619,1091,413,1195
619,1091,425,1165
676,1019,446,1133
676,1019,,
725,933,,
725,933,,
