ax,ay,bx,by
544,1017,407,420
544,1017,402,408
578,969,402,408
578,969,402,408
578,969,396,432
596,921,393,472
596,921,397,526
596,921,399,595
601,879,404,677
601,879,407,767
601,879,409,854
560,850,412,941
560,850,413,1017
503,844,415,1087
503,844,414,1135
424,860,413,1168
382,879,415,1181
342,909,415,1181
342,909,421,1171
275,975,425,1151
258,1022,433,1118
251,1071,445,1084
256,1117,459,1041
270,1158,480,1004
270,1158,504,975
327,1216,534,949
327,1216,569,934
404,1241,609,928
404,1241,650,938
477,1214,691,954
477,1214,730,981
540,1159,765,1012
540,1159,792,1044
581,1092,811,1080
581,1092,817,1117
599,1024,811,1148
599,1024,793,1173
604,963,763,1191
604,963,722,1205
604,963,676,1213
604,963,625,1215
604,963,572,1209
604,963,518,1199
604,963,479,1187
634,1039,442,1178
657,1095,419,1171
685,1152,408,1158
720,1200,408,1158
759,1250,,
802,1286,,
848,1318,,
894,1339,,
945,1351,,
999,1351,,
