ax,ay,bx,by
566,965,232,1330
566,965,249,1333
522,941,271,1332
522,941,299,1321
522,941,328,1302
522,941,361,1273
522,941,395,1232
474,942,428,1184
474,942,459,1124
474,942,489,1058
417,978,512,988
417,978,533,915
371,1022,547,840
371,1022,558,772
334,1087,562,707
334,1087,560,649
320,1160,556,603
320,1160,545,568
332,1231,535,543
332,1231,520,529
378,1282,506,526
378,1282,489,537
447,1294,473,558
447,1294,454,589
517,1261,436,632
517,1261,417,689
573,1194,403,749
591,1152,385,821
602,1108,376,897
608,1063,367,978
607,1022,369,1056
607,1022,373,1135
596,964,388,1203
596,964,407,1266
596,964,433,1315
596,964,464,1351
596,964,499,1371
596,964,535,1379
583,1039,570,1371
596,1086,602,1350
612,1132,628,1319
633,1179,648,1278
655,1224,660,1229
679,1267,663,1178
679,1267,658,1128
727,1334,649,1082
727,1334,633,1045
727,1334,616,1015
780,1376,598,998
780,1376,582,993
780,1376,570,1003
,,563,1022
,,563,1051
,,572,1087
,,590,1121
,,615,1157
,,648,1188
,,687,1214
,,728,1235
,,767,1249
,,815,1246
,,848,1237
