ax,ay,bx,by
613,854,540,321
630,800,529,334
630,800,521,354
630,800,506,393
642,760,490,438
642,760,477,505
642,760,459,586
642,760,442,676
626,713,423,767
626,713,407,851
626,713,393,935
566,718,382,1002
566,718,375,1064
497,746,375,1107
457,769,381,1128
412,802,395,1133
364,838,416,1125
316,881,445,1105
269,927,482,1074
229,978,526,1034
192,1030,572,991
165,1086,624,944
146,1140,673,905
138,1191,722,868
145,1241,766,843
145,1241,807,826
191,1305,838,825
191,1305,864,834
280,1320,882,859
334,1308,894,888
388,1283,897,927
441,1246,894,971
490,1199,881,1020
532,1150,861,1072
563,1093,830,1120
584,1036,794,1164
598,974,750,1202
605,921,703,1237
604,873,653,1265
604,873,605,1280
590,809,557,1291
590,809,512,1292
590,809,472,1287
590,809,434,1277
558,869,404,1260
558,918,374,1246
564,969,359,1234
578,1026,352,1221
598,1078,350,1210
626,1122,361,1200
657,1164,,
657,1164,,
735,1208,,
778,1220,,
823,1225,,
